Type,Description,Case#,Location#,LocationName,Agency,DateMonth2015,DateDay,Hour,Minute,AMPM,Thour,long,lat,spec
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115009016,1400,BLOCK NIXON AV,Eau Claire Police,5,16,2,38,PM,14,44.787219,-91.480796,
THEFT,RETAIL,Eau Claire PD 0115010745,1100,BLOCK W CLAIREMONT AV,Eau Claire Police,5,16,2,13,PM,14,44.792943,-91.514741,
ANIMAL,BARKING DOG,Eau Claire PD 0115009007,3100,BLOCK JUPITER AV,Eau Claire Police,5,16,1,49,PM,13,44.85246,-91.484549,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009040,2300,BLOCK CRAIG RD,Eau Claire Police,5,16,11,0,AM,11,44.794928,-91.519068,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008991,5600,BLOCK GABLES DR,Eau Claire Police,5,16,9,35,AM,9,44.776607,-91.423132,
DRUG,PRESCRIPTION FRAUD,Eau Claire PD 0115009127,900,BLOCK W CLAIREMONT AV,Eau Claire Police,5,16,9,32,AM,9,44.794576,-91.51104,marshfield clinic
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115008967,2300,BLOCK CORONA AV,Eau Claire Police,5,16,9,0,AM,9,44.787432,-91.468285,
SEX OFFENSE,EXPOSURE,Eau Claire PD 0115008990,1200,BLOCK WHIPPLE ST,Eau Claire Police,5,16,8,0,AM,8,44.811454,-91.513433,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115008986,100,BLOCK 6TH AV,Eau Claire Police,5,16,3,5,AM,3,44.801274,-91.511879,near water
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008984,2000,BLOCK 3RD ST,Eau Claire Police,5,16,2,30,AM,2,44.81926,-91.513576,
CRIM DAMAGE,PRIVATE PROPERTY,Eau Claire PD 0115008981,1000,BLOCK IMPERIAL CIR,Eau Claire Police,5,16,2,3,AM,2,44.786568,-91.514574,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115008977,3400,BLOCK MCELROY ST,Eau Claire Police,5,16,1,2,AM,1,44.779929,-91.45845,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008975,1000,BLOCK OXFORD AV,Eau Claire Police,5,16,12,30,AM,0,44.810129,-91.506467,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115008972,500,BLOCK NIAGARA ST,Eau Claire Police,5,15,11,20,PM,23,44.804092,-91.509797,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115008969,1000,BLOCK OXFORD AV,Eau Claire Police,5,15,11,16,PM,23,44.810129,-91.506467,
DISTURBANCE,,Eau Claire PD 0115008966,2700,BLOCK SOUTH SLOPE TER,Eau Claire Police,5,15,9,15,PM,21,44.822722,-91.472234,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115008970,3300,BLOCK RUNWAY AV,Eau Claire Police,5,15,9,0,PM,21,44.871266,-91.461084,
CRIMINAL DAMAGE,,Eau Claire CSO 0215002933,700,BLOCK 2ND AV,Eau Claire County Sheriff,5,15,8,24,PM,20,44.802718,-91.503345,water
DRUG,MULTIPLE TYPES POSSESSION,Eau Claire PD 0115008959,2700,BLOCK THOMAS DR,Eau Claire Police,5,15,8,4,PM,20,44.791017,-91.506697,
THEFT,RETAIL,Eau Claire PD 0115009157,4700,BLOCK GOLF RD,Eau Claire Police,5,15,7,0,PM,19,44.771715,-91.445768,
OMVWI,,Eau Claire CSO 0215002929,E21700 ,BLOCK STONEY LONESOME RD,Eau Claire County Sheriff,5,15,6,21,PM,18,,,
ORD COMPLAINT,OPEN INTOX STREET,Eau Claire PD 0115008954,200,BLOCK GARFIELD AV,Eau Claire Police,5,15,6,13,PM,18,44.799118,-91.497133,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115008953,2300,BLOCK MELANIE LA,Eau Claire Police,5,15,5,15,PM,17,44.82191,-91.541047,
CRIMINAL DAMAGE,,Eau Claire CSO 0215002928,4900,BLOCK BURNELL DR,Eau Claire County Sheriff,5,15,5,15,PM,17,44.84344,-91.428565,
CRIM DAMAGE,COMMERCIAL PROPERTY,Eau Claire PD 0115009122,1500,BLOCK BALL ST,Eau Claire Police,5,15,5,0,PM,17,44.816089,-91.486969,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008950,3600,BLOCK MAYWOOD DR,Eau Claire Police,5,15,3,31,PM,15,44.83506,-91.524592,
THEFT,RETAIL,Eau Claire PD 0115009160,3600,BLOCK S HASTINGS WAY,Eau Claire Police,5,15,3,21,PM,15,44.781342,-91.440967,
DISTURBANCE,,Eau Claire PD 0115008944,200,BLOCK W MADISON ST,Eau Claire Police,5,15,2,24,PM,14,44.815574,-91.510317,
SEX OFFENSE,EXPOSURE,Eau Claire PD 0115008930,1500,BLOCK E NORTH CROSSING,Eau Claire Police,5,15,11,10,AM,11,,,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115008947,4400,BLOCK LASALLE ST,Eau Claire Police,5,15,10,0,AM,10,44.839498,-91.43945,villa diann mobile home village
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115008922,500,BLOCK DODGE ST,Eau Claire Police,5,15,9,37,AM,9,44.811376,-91.493814,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115008899,200,BLOCK WASHINGTON ST,Eau Claire Police,5,15,1,9,AM,1,44.80374,-91.493818,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115008896,600,BLOCK BROADWAY ST,Eau Claire Police,5,15,12,21,AM,0,44.80508,-91.511889,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008891,1800,BLOCK SUMMIT ST,Eau Claire Police,5,14,8,44,PM,20,44.818746,-91.483807,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009152,800,BLOCK BARLAND ST,Eau Claire Police,5,14,7,0,PM,19,44.811566,-91.492634,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008886,900,BLOCK S HASTINGS WAY,Eau Claire Police,5,14,6,28,PM,18,44.808169,-91.471749,
SEX OFFENSE,EXPOSURE,Eau Claire PD 0115008884,100,BLOCK CARSON PARK DR,Eau Claire Police,5,14,6,2,PM,18,44.800337,-91.526344,
THEFT,RETAIL,Eau Claire PD 0115010944,3600,BLOCK S HASTINGS WAY,Eau Claire Police,5,14,5,50,PM,17,44.781327,-91.440967,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008874,1700,BLOCK SHERWIN AV,Eau Claire Police,5,14,3,45,PM,15,44.808225,-91.477311,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115008866,2600,BLOCK SESSIONS CT,Eau Claire Police,5,14,2,8,PM,14,44.779779,-91.463601,
CRIMINAL DAMAGE,,Eau Claire CSO 0215002905,900,BLOCK RICHARD DR,Eau Claire County Sheriff,5,14,10,0,AM,10,44.79057,-91.508443,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115008855,2100,BLOCK MITTELSTADT LA,Eau Claire Police,5,14,10,0,AM,10,44.821116,-91.541023,
DISTURBANCE,,Eau Claire PD 0115008844,2900,BLOCK SHADY GROVE RD,Eau Claire Police,5,14,2,0,AM,2,44.83435,-91.469924,
DISTURBANCE,,Eau Claire PD 0115008843,700,BLOCK 4TH AV,Eau Claire Police,5,14,1,0,AM,1,44.806993,-91.507207,
THEFT,BIKE,Eau Claire PD 0115009155,200,BLOCK RIVERFRONT TER,Eau Claire Police,5,13,11,0,PM,23,44.813417,-91.503137,royal credit union
DISTURBANCE,,Eau Claire PD 0115008927,1500,BLOCK S FARWELL ST,Eau Claire Police,5,13,10,45,PM,22,44.799954,-91.489042,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008833,2700,BLOCK 14TH ST,Eau Claire Police,5,13,9,0,PM,21,44.826912,-91.528534,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008828,900,BLOCK BROADVIEW BLVD,Eau Claire Police,5,13,7,0,PM,19,44.788185,-91.543308,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115008827,2700,BLOCK 14TH ST,Eau Claire Police,5,13,6,49,PM,18,44.826912,-91.528534,
DISTURBANCE,,Eau Claire PD 0115008825,3200,BLOCK SEYMOUR RD,Eau Claire Police,5,13,6,39,PM,18,44.825542,-91.465346,
ANIMAL,BARKING DOG,Eau Claire PD 0115008822,3300,BLOCK HALSEY ST,Eau Claire Police,5,13,5,36,PM,17,44.785606,-91.490908,
CRIMINAL DAMAGE,,Eau Claire CSO 0215002883,700,BLOCK 2ND AV,Eau Claire County Sheriff,5,13,4,55,PM,16,44.806988,-91.503421,
DRUG INVESTIGATION/INFORMATION,,Eau Claire CSO 0215002884,800,BLOCK DORBE ST,Eau Claire County Sheriff,5,13,4,7,PM,16,44.779527,-91.508755,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115008823,4800,BLOCK GOLF RD,Eau Claire Police,5,13,3,30,PM,15,44.774849,-91.441109,mall
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009463,2500,BLOCK SUBURBAN ST,Eau Claire Police,5,13,3,19,PM,15,44.817373,-91.54455,
THEFT,RETAIL,Eau Claire PD 0115010943,3600,BLOCK S HASTINGS WAY,Eau Claire Police,5,13,3,15,PM,15,44.781327,-91.440967,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008801,2300,BLOCK DEBLENE LA,Eau Claire Police,5,13,2,8,PM,14,44.816702,-91.550857,
THEFT,EMBEZZLEMENT,Eau Claire PD 0115008872,2100,BLOCK HIGHLAND AV,Eau Claire Police,5,13,11,26,AM,23,44.807336,-91.471285,
DISTURBANCE,,Eau Claire PD 0115008788,4400,BLOCK LASALLE ST,Eau Claire Police,5,13,10,55,AM,22,44.839498,-91.43945,villa diann mobile home village
,,Eau Claire CSO 0215002870,600,BLOCK CENTRE ST,Eau Claire County Sheriff,5,13,9,51,AM,21,44.818186,-91.513613,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115008775,300,BLOCK PLATT ST,Eau Claire Police,5,13,3,43,AM,15,44.82902,-91.427501,
DISTURBANCE,,Eau Claire CSO 0215002858,5000,BLOCK TOWER DR,Eau Claire County Sheriff,5,12,11,48,PM,23,44.828727,-91.420155,
DISTURBANCE,,Eau Claire PD 0115008768,1000,BLOCK 5TH AV,Eau Claire Police,5,12,11,47,PM,23,44.809746,-91.509858,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115008776,3000,BLOCK MARS AV,Eau Claire Police,5,12,11,20,PM,23,44.850675,-91.483279,
CRIM DAMAGE,PRIVATE PROPERTY,Eau Claire PD 0115008767,3000,BLOCK MARS AV,Eau Claire Police,5,12,11,20,PM,23,44.850675,-91.483279,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115008766,3200,BLOCK ELDORADO BLVD,Eau Claire Police,5,12,10,31,PM,22,44.786555,-91.514583,
DRUG,MARIJUANA POSSESSION,Eau Claire CSO 0215002856,8900,BLOCK HWY 53 FRWY,Eau Claire County Sheriff,5,12,9,45,PM,21,,,
SEX OFFENSE,CAD COPYOVER RECODE,Eau Claire PD 0115008765,2000,BLOCK SCHULT ST,Eau Claire Police,5,12,9,22,PM,21,44.78784,-91.543281,
DRUG,METH POSSESSION,Eau Claire PD 0115008763,100,BLOCK W MADISON ST,Eau Claire Police,5,12,8,53,PM,20,44.815649,-91.509359,
THEFT,RETAIL,Eau Claire PD 0115008760,3700,BLOCK GATEWAY DR,Eau Claire Police,5,12,7,43,PM,19,44.778251,-91.4316,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115008761,700,BLOCK 2ND AV,Eau Claire Police,5,12,7,36,PM,19,44.806996,-91.503432,
THEFT,FROM COIN OPERATED MACHINE,Eau Claire PD 0115008757,5100,BLOCK FAIRVIEW DR,Eau Claire Police,5,12,7,4,PM,19,44.764347,-91.463309,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115008755,300,BLOCK N BARSTOW ST,Eau Claire Police,5,12,6,19,PM,18,44.815559,-91.501663,
BURGLARY,FORCED,Eau Claire CSO 0215002849,5100,BLOCK STAR RIDGE RD,Eau Claire County Sheriff,5,12,5,54,PM,17,44.811128,-91.577343,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115008747,2300,BLOCK SUNSET DR,Eau Claire Police,5,12,5,23,PM,17,44.812228,-91.540632,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115008748,3200,BLOCK SEYMOUR RD,Eau Claire Police,5,12,5,16,PM,17,44.825527,-91.465303,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115008746,1000,BLOCK 5TH AV,Eau Claire Police,5,12,5,11,PM,17,44.809749,-91.509858,
CRIMINAL DAMAGE,,Eau Claire CSO 0215002847,700,BLOCK 2ND AV,Eau Claire County Sheriff,5,12,4,34,PM,16,44.806988,-91.5034,
DRUG,METH MANUFACTURING,Eau Claire CSO 0215002845,4900,BLOCK OLSON DR,Eau Claire County Sheriff,5,12,3,2,PM,15,44.838092,-91.428718,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008733,900,BLOCK W CLAIREMONT AV,Eau Claire Police,5,12,2,22,PM,14,44.794576,-91.51104,marshfield clinic
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008731,1200,BLOCK MCKINLEY RD,Eau Claire Police,5,12,12,0,PM,12,44.826322,-91.458203,
GRAFFITI,,Eau Claire CSO 0215002840,2300,BLOCK W VINE ST,Eau Claire County Sheriff,5,12,9,24,AM,9,44.817884,-91.555543,
FRAUD,ALL OTHER,Eau Claire PD 0115009288,3500,BLOCK GATEWAY DR,Eau Claire Police,5,12,7,0,AM,7,44.782207,-91.432152,
DRUG,MULTIPLE TYPES POSSESSION,Eau Claire PD 0115008703,2300,BLOCK CRAIG RD,Eau Claire Police,5,12,3,3,AM,3,44.79492,-91.519057,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115008802,1100,BLOCK 2ND AV,Eau Claire Police,5,12,12,1,AM,0,44.811752,-91.507145,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008696,2800,BLOCK THOMAS DR,Eau Claire Police,5,11,10,32,PM,22,44.790074,-91.506253,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115008811,200,BLOCK BROADWAY ST,Eau Claire Police,5,11,10,0,PM,22,44.805034,-91.503427,
DISTURBANCE,,Eau Claire PD 0115008683,3600,BLOCK SEYMOUR RD,Eau Claire Police,5,11,7,45,PM,19,44.825439,-91.460234,
BURGLARY,UNLAWFUL ENTRY,Eau Claire CSO 0215002826,8900,BLOCK SCHUMACHER RD,Eau Claire County Sheriff,5,11,6,19,PM,18,,,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008693,700,BLOCK MCDONOUGH ST,Eau Claire Police,5,11,6,0,PM,18,44.821909,-91.489023,
THEFT,RETAIL,Eau Claire PD 0115009142,1700,BLOCK N CLAIREMONT AV,Eau Claire Police,5,11,5,50,PM,17,44.81616,-91.540982,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115008673,2300,BLOCK SUNSET DR,Eau Claire Police,5,11,4,35,PM,16,44.812228,-91.540643,
DISTURBANCE,ALL OTHER,Eau Claire PD 0115008671,400,BLOCK EAU CLAIRE ST,Eau Claire Police,5,11,4,25,PM,16,44.812755,-91.499309,library
DRUG INVESTIGATION/INFORMATION,,Eau Claire CSO 0215002815,4900,BLOCK OLSON DR,Eau Claire County Sheriff,5,11,3,18,PM,15,44.838092,-91.428756,
FRAUD,,Eau Claire CSO 0215002821,10000,BLOCK CURVUE RD,Eau Claire County Sheriff,5,11,3,3,PM,15,44.797501,-91.643089,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115008815,3000,BLOCK MALL DR,Eau Claire Police,5,11,3,0,PM,15,44.789186,-91.461414,
FRAUD,IDENTITY THEFT,Eau Claire PD 0115008662,3000,BLOCK RUNWAY AV,Eau Claire Police,5,11,2,54,PM,14,44.871015,-91.468769,
FRAUD,ALL OTHER,Eau Claire PD 0115008661,800,BLOCK W CLAIREMONT AV,Eau Claire Police,5,11,2,17,PM,14,44.793013,-91.510411,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115008813,2200,BLOCK HATCH ST,Eau Claire Police,5,11,11,59,AM,11,44.783475,-91.470581,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115008711,2100,BLOCK CAMERON ST,Eau Claire Police,5,11,11,30,AM,11,44.814245,-91.537442,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115008709,2200,BLOCK KEITH ST,Eau Claire Police,5,11,7,40,AM,7,44.796443,-91.473387,
HEFT,OTHER MISDEMEANOR,Eau Claire PD 0115008924,2000,BLOCK VINE ST,Eau Claire Police,5,11,7,30,AM,7,44.821478,-91.53517,delong middle school
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115008619,1600,BLOCK WESTERN AV,Eau Claire Police,5,11,6,34,AM,6,44.8352,-91.477585,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115008618,1100,BLOCK W HAMILTON AV,Eau Claire Police,5,11,3,4,AM,3,44.785553,-91.516944,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115008698,400,BLOCK N BARSTOW ST,Eau Claire Police,5,11,2,29,AM,2,44.816442,-91.501864,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008614,300,BLOCK WATER ST,Eau Claire Police,5,11,12,10,AM,0,44.80217,-91.505665,water
FORGED,CHECK,Eau Claire PD 0115008860,3400,BLOCK LOCUST LA,Eau Claire Police,5,11,12,1,AM,0,44.855666,-91.459852,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115008613,4700,BLOCK OAKWOOD HILLS PKWY,Eau Claire Police,5,10,11,21,PM,23,44.771817,-91.445387,
DISORDERLY CONDUCT,,Eau Claire CSO 0215002794,300,BLOCK S STATE ST,Eau Claire County Sheriff,5,10,8,0,PM,20,,,
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115008604,2100,BLOCK RUDOLPH RD,Eau Claire Police,5,10,7,30,PM,19,44.797338,-91.478469,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115008597,2100,BLOCK AGNES ST,Eau Claire Police,5,10,5,0,PM,17,44.797344,-91.475924,
THEFT,RETAIL,Eau Claire PD 0115008656,3600,BLOCK S HASTINGS WAY,Eau Claire Police,5,10,4,35,PM,16,44.781338,-91.440978,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008599,2500,BLOCK LONDON RD,Eau Claire Police,5,10,4,33,PM,16,44.79273,-91.463258,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115008593,4100,BLOCK MARY PL,Eau Claire Police,5,10,4,24,PM,16,44.838716,-91.585304,
ORD COMPLAINT,DISORDERLY CONDUCT,Eau Claire CSO 0215002792,1800,BLOCK MCKINLEY RD,Eau Claire County Sheriff,5,10,4,23,PM,16,44.834038,-91.458026,
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115008591,900,BLOCK RICHARD DR,Eau Claire Police,5,10,3,47,PM,15,44.79057,-91.508443,
DISTURBANCE,,Eau Claire PD 0115008589,3000,BLOCK ARNSTAD PL,Eau Claire Police,5,10,3,18,PM,15,44.829592,-91.531071,
DISTURBANCE,,Eau Claire PD 0115008587,3400,BLOCK FERN CT,Eau Claire Police,5,10,3,3,PM,15,44.857467,-91.462611,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115008583,600,BLOCK HOBART ST,Eau Claire Police,5,10,1,52,PM,13,44.81879,-91.503825,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115008574,1400,BLOCK MAIN ST,Eau Claire Police,5,10,4,43,AM,4,44.812474,-91.481244,
DISTURBANCE,,Eau Claire PD 0115008570,3000,BLOCK COLTMAN LA,Eau Claire Police,5,10,3,15,AM,3,44.788253,-91.469606,
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115008569,800,BLOCK W CLAIREMONT AV,Eau Claire Police,5,10,2,47,AM,2,44.793013,-91.5104,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115008568,3000,BLOCK SATURN AV,Eau Claire Police,5,10,2,46,AM,2,44.850673,-91.485831,
ORD COMPLAINT,URINATE IN PUBLIC,Eau Claire PD 0115008567,300,BLOCK WATER ST,Eau Claire Police,5,10,2,40,AM,2,44.80217,-91.505665,water
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115008572,1000,BLOCK IMPERIAL CIR,Eau Claire Police,5,10,2,21,AM,2,44.786538,-91.514585,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115008564,1500,BLOCK S HASTINGS WAY,Eau Claire Police,5,10,2,6,AM,2,44.802698,-91.470507,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115008563,0,BLOCK W MADISON ST,Eau Claire Police,5,10,1,32,AM,1,44.815751,-91.507598,
ORD COMPLAINT,URINATE IN PUBLIC,Eau Claire PD 0115008562,300,BLOCK WATER ST,Eau Claire Police,5,10,1,20,AM,1,44.80217,-91.505665,water
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115008559,300,BLOCK WATER ST,Eau Claire Police,5,10,12,30,AM,0,44.80217,-91.505665,water
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115008558,300,BLOCK WATER ST,Eau Claire Police,5,10,12,30,AM,0,44.80217,-91.505665,water
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115008655,1800,BLOCK MCKINLEY RD,Eau Claire Police,5,10,12,1,AM,0,44.834022,-91.457994,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018252,700,BLOCK NIAGARA ST,Eau Claire Police,9,5,11,28,PM,23,44.804131,-91.513879,
BURGLARY,FORCED RESIDENTIAL,Eau Claire PD 0115018285,900,BLOCK CAMERON TR,Eau Claire Police,9,5,11,0,PM,23,44.816291,-91.522004,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018241,500,BLOCK LAKE ST,Eau Claire Police,9,5,10,27,PM,22,44.806998,-91.509777,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018476,300,BLOCK S BARSTOW ST,Eau Claire Police,9,5,10,0,PM,22,44.810878,-91.499439,
DISTURBANCE,,Eau Claire PD 0115018240,4800,BLOCK SOUTHRIDGE CT,Eau Claire Police,9,5,9,58,PM,21,44.783807,-91.43488,
BURGLARY,UNLAWFUL RESIDENTIAL,Eau Claire PD 0115018290,3100,BLOCK ELDORADO BLVD,Eau Claire Police,9,5,8,19,PM,20,44.788039,-91.514911,
CRIM DAMAGE,PRIVATE PROPERTY,Eau Claire PD 0115018234,4300,BLOCK HERITAGE DR,Eau Claire Police,9,5,7,26,PM,19,44.844988,-91.445774,
DRUG,METH POSSESSION,Eau Claire PD 0115018224,2400,BLOCK E CLAIREMONT AV,Eau Claire Police,9,5,5,31,PM,17,44.794617,-91.467055,
THEFT,EMBEZZLEMENT,Eau Claire PD 0115018694,3900,BLOCK GATEWAY DR,Eau Claire Police,9,5,5,24,PM,17,44.776004,-91.431761,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018216,400,BLOCK EAU CLAIRE ST,Eau Claire Police,9,5,3,23,PM,15,44.812751,-91.499298,library
,,Eau Claire CSO 0215005829,6700,BLOCK NORTH SHORE DR,Eau Claire County Sheriff,9,5,12,35,PM,12,44.814974,-91.396299,
DISTURBANCE,,Eau Claire PD 0115018204,1500,BLOCK FREDERIC ST,Eau Claire Police,9,5,12,17,PM,12,44.799506,-91.486363,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018954,3400,BLOCK CRAIG RD,Eau Claire Police,9,5,11,30,AM,11,44.783409,-91.519186,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018197,900,BLOCK W CLAIREMONT AV,Eau Claire Police,9,5,10,27,AM,10,44.794447,-91.510965,sacred heart hospital
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018196,2400,BLOCK WALLER ST,Eau Claire Police,9,5,9,58,AM,9,44.847055,-91.477133,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018187,200,BLOCK BROADWAY ST,Eau Claire Police,9,5,4,0,AM,4,44.805049,-91.503395,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115018182,400,BLOCK WATER ST,Eau Claire Police,9,5,2,57,AM,2,44.802169,-91.507715,water street
BATTERY,SIMPLE HANDS/FIST/FEET,Eau Claire CSO 0215005820,3000,BLOCK LONDON RD,Eau Claire County Sheriff,9,5,2,13,AM,2,44.788021,-91.463217,
DISTURBANCE,FIGHTING,Eau Claire PD 0115018180,3000,BLOCK LONDON RD,Eau Claire Police,9,5,2,13,AM,2,44.788021,-91.463217,
DISTURBANCE,,Eau Claire PD 0115018181,3200,BLOCK MCELROY ST,Eau Claire Police,9,5,2,0,AM,2,44.779952,-91.459659,
DISTURBANCE,,Eau Claire PD 0115018174,900,BLOCK RICHARD DR,Eau Claire Police,9,5,1,20,AM,1,44.790589,-91.508421,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018172,1000,BLOCK IMPERIAL CIR,Eau Claire Police,9,5,1,15,AM,1,44.786553,-91.514574,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018171,900,BLOCK LAKESIDE AV,Eau Claire Police,9,5,1,0,AM,1,44.803477,-91.517946,
CRIM DAMAGE,PRIVATE PROPERTY,Eau Claire PD 0115018513,300,BLOCK CHIPPEWA ST,Eau Claire Police,9,5,12,1,AM,0,44.803136,-91.505646,near water street
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115018166,1100,BLOCK W NORTH CROSSING,Eau Claire Police,9,4,11,52,PM,23,,,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018165,600,BLOCK RIPLEY AV,Eau Claire Police,9,4,7,30,PM,19,44.80216,-91.486307,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115018146,200,BLOCK 10TH AV,Eau Claire Police,9,4,6,25,PM,18,44.802048,-91.519915,near water street
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018202,600,BLOCK RIPLEY AV,Eau Claire Police,9,4,6,0,PM,18,44.80216,-91.486307,
DRUG,METH POSSESSION,Eau Claire PD 0115018138,1200,BLOCK BELLEVUE AV,Eau Claire Police,9,4,5,26,PM,17,44.816949,-91.490355,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115018190,1100,BLOCK MENOMONIE ST,Eau Claire Police,9,4,5,0,PM,17,44.800751,-91.522789,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018426,1400,BLOCK RUST ST,Eau Claire Police,9,4,5,0,PM,17,44.801042,-91.487363,
THEFT,SERVICES,Eau Claire PD 0115018425,500,BLOCK N CLAIREMONT AV,Eau Claire Police,9,4,5,0,PM,17,44.801678,-91.53221,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018131,300,BLOCK PUTNAM ST,Eau Claire Police,9,4,4,37,PM,16,44.815894,-91.49537,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018125,800,BLOCK W MACARTHUR AV,Eau Claire Police,9,4,2,47,PM,14,44.789301,-91.50883,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018127,1100,BLOCK W MACARTHUR AV,Eau Claire Police,9,4,2,0,PM,14,44.788217,-91.517803,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115018315,1100,BLOCK MAIN ST,Eau Claire Police,9,4,11,0,AM,11,44.812387,-91.486605,
